Technology,What technology could allow instant communication across space?,Quantum entanglement,Tachyon beams,Neutrino transmission,Graviton waves,1
Weapons,What is a kinetic bombardment weapon from orbit called?,Rod from God,Orbital strike,Space lance,Gravity bomb,1
Life Support,What system recycles waste into resources on spacecraft?,Closed-loop ECLSS,Open system,Bioreactor,Hydroponics,1
Mining,What is the process of extracting resources from planets called?,In-situ resource utilization,Planetary mining,Cosmic harvesting,Astro-extraction,1
Exploration,What type of telescope would be built on the far side of the Moon?,Radio telescope,Optical telescope,X-ray telescope,Infrared telescope,1
Propulsion,What theoretical engine manipulates space-time for travel?,Alcubierre drive,EM drive,Bussard ramjet,Fusion torch,1
Defense,What early warning system detects dangerous asteroids?,Planetary defense network,Space surveillance,Asteroid watch,All of these,4
Colonization,What underground structures could house Martian colonies?,Lava tubes,Ice caves,Impact craters,Buried domes,1
Energy,What fusion fuel is abundant on the Moon?,Helium-3,Deuterium,Tritium,Uranium,1
Astronomy,What is the search for extraterrestrial intelligence called?,SETI,CETI,METI,PETI,1
Engineering,What structure could shade Earth to combat climate change?,Sunshade,Solar umbrella,L1 shield,All of these,4
Biology,What extreme organisms could survive on other worlds?,Extremophiles,Xenomorphs,Cryophiles,Cosmophiles,1
Travel,What is a generation ship designed for?,Interstellar colonization,Orbital tourism,Resource transport,Military operations,1
Technology,What AI system could manage a space colony?,Central AI,Quantum computer,Neural network,All of these,4
Physics,What is the theoretical particle that travels faster than light?,Tachyon,Graviton,Photon,Neutrino,1
Habitats,What rotating space station design was proposed by NASA?,Stanford torus,Bernal sphere,McKendree cylinder,Kalpana One,1
Resources,What process extracts oxygen from lunar regolith?,Molten regolith electrolysis,Cryogenic distillation,Chemical reduction,Plasma extraction,1
Exploration,What is a self-sustaining interstellar ark called?,Generation ship,Seed ship,Colony vessel,Exodus craft,1
Propulsion,What exotic matter enables warp drive theory?,Negative mass,Dark matter,Strange matter,Exotic matter,1
Communication,What relay system could enable deep space internet?,Interplanetary network,Quantum mesh,Laser network,All of these,4
Colonization,What is farming in space environments called?,Aeroponics,Hydroponics,Space agriculture,All of these,4
Technology,What brain-computer interface could enhance astronauts?,Neural implant,Cognitive enhancer,Synapse link,Mind-machine interface,1
Defense,What could deflect solar storms from spacecraft?,Magnetic shield,Plasma shield,Radiation shelter,All of these,4
Medicine,What suspended animation technology could enable long voyages?,Cryogenic sleep,Hibernation,Stasis,Torpor,3
Engineering,What massive lens could focus starlight for propulsion?,Fresnel lens,Solar concentrator,Laser array,Photon sail,1
Astronomy,What is a self-aware supercomputer the size of a planet?,Matrioshka Brain,Planetmind,Computational matrix,Dyson computer,1
Transportation,What electromagnetic launcher could send payloads to orbit?,Mass driver,Railgun,Coilgun,All of these,4
Exploration,What tiny spacecraft could explore interstellar space?,Nanocraft,Microprobe,Chipsat,All of these,4
Energy,What captures energy from a rotating black hole?,Penrose process,Dyson sphere,Hawking collector,Singularity tap,1
Life Support,What produces food from single-celled organisms?,Bioreactor,Synthesizer,Replicator,Cell cultivator,1
Habitats,What hollow asteroid converted into a habitat is called?,Asteroid ark,Rock station,Worldship,Orion habitat,1
Mining,What spacecraft processes asteroids while traveling?,Traveling factory,Mobile refinery,Nomad processor,All of these,4
Colonization,What is the first structure needed for Mars colony?,Power station,Life support,Habitat,Landing pad,2
Technology,What 3D printing technique builds structures from local materials?,In-situ construction,Additive manufacturing,Contour crafting,All of these,4
Propulsion,What collects interstellar hydrogen for fuel?,Bussard ramjet,Fusion scoop,Ram-augmented sail,Magnetic funnel,1
Defense,What space-based sensor network tracks orbital debris?,Space fence,Debris watch,Collision avoidance,Orbital monitor,1
Physics,What connects two distant points in spacetime?,Wormhole,Einstein-Rosen bridge,Spacetime tunnel,All of these,4
Astronomy,What artificial structure could move an entire star system?,Shkadov thruster,Stellar engine,Star drive,Caplan thruster,2
Biology,What modification allows humans to survive space better?,Genetic engineering,Cybernetic enhancement,Adaptation therapy,All of these,4
Travel,What is a small personal spacecraft called?,Spaceplane,Shuttle pod,Starfighter,Personal launch vehicle,2
Engineering,What collects solar power in space and beams it to Earth?,Space-based solar power,Orbital power station,Solar satellite,All of these,4
Colonization,What thin structure provides radiation protection for habitats?,Regolith shield,Water layer,Magnetic deflector,All of these,4
Energy,What theoretical zero-point energy could power spacecraft?,Vacuum energy,Quantum fluctuation,Casimir effect,All of these,1
Exploration,What follows a comet or asteroid to study it longterm?,Rendezvous mission,Chase probe,Escort craft,Trailing observatory,1
Technology,What converts thought into computer commands?,Brain-computer interface,Neural link,Thought controller,Mind reader,1
Resources,What ice on Mercury could supply water for colonies?,Polar ice,Shadow ice,Crater deposits,All of these,4
Habitats,What transparent material could form domes on the Moon?,Aluminum oxynitride,Lunar glass,Transparent aluminum,Diamond composite,1
Propulsion,What uses nuclear explosions for thrust?,Project Orion,Atomic rocket,Blast drive,Explosion propulsion,1
Communication,What space-based telescope could image exoplanet surfaces?,Hypertelescope,Starshade system,Interferometer array,All of these,4
Medicine,What counteracts bone loss in zero gravity?,Artificial gravity,Exercise,Medication,All of these,4
Colonization,What underground ocean moon could harbor life?,Europa,Enceladus,Titan,All of these,4
Technology,What nanobot swarm could repair spacecraft?,Smart dust,Utility fog,Nanomachines,Repair bots,2
Defense,What detects and neutralizes space pirates?,Security fleet,Patrol drones,Orbital guard,All of these,4
Astronomy,What is an artificial habitat orbiting a star in the goldilocks zone?,Orbital colony,Space settlement,Ringworld,All of these,3
Engineering,What massive orbital structure encircles a planet?,Orbital ring,Ring station,Planetary halo,Equatorial band,1
Exploration,What probe enters a gas giant's atmosphere?,Atmospheric probe,Descent capsule,Drop probe,All of these,4
Biology,What synthetic organism could terraform planets?,Engineered bacteria,Synthetic life,Designer microbes,All of these,4
Propulsion,What manipulates the quantum vacuum for propulsion?,Q-thruster,EM drive,Vacuum drive,Quantum engine,2
Travel,What sleeper ship technology preserves crew for centuries?,Cryonics,Suspended animation,Biostasis,All of these,4
Technology,What computer system manages asteroid mining operations?,Autonomous AI,Quantum processor,Distributed network,Mining computer,1
Exploration,What mission studies the heliopause boundary?,Voyager program,Pioneer mission,New Horizons,Interstellar probe,1
Energy,What captures waste heat from spacecraft systems?,Thermal reclamation,Heat recycling,Energy recovery,Waste-to-power,3
Defense,What protects colonies from micrometeorite impacts?,Whipple shield,Armor plating,Magnetic deflector,Particle beam,1
Colonization,What grows food in Martian soil simulant?,Modified crops,Earth plants,Synthetic nutrients,Hydroponic systems,1
Astronomy,What space telescope will succeed James Webb?,Nancy Grace Roman,Habitable Worlds Observatory,LUVOIR,All proposed,2
category,question,option1,option2,option3,option4,correct_answer
Space Travel & Propulsion,What is the proposed propulsion system using matter-antimatter reactions?,Fusion drive,Antimatter drive,Ion drive,Warp drive,2
Space Travel & Propulsion,Which engine type uses electric fields to accelerate ions?,Chemical engine,Fusion engine,Antimatter engine,Ion engine,4
Space Travel & Propulsion,What theoretical propulsion method involves folding space?,Ramjet,Warp drive,Photon sail,Nuclear pulse,2
Space Travel & Propulsion,What is a major challenge with faster-than-light travel?,Fuel efficiency,Time dilation,Energy requirements,Gravity loss,3
Space Travel & Propulsion,Which real-world engine was tested on NASA's Dawn mission?,Warp drive,Fusion drive,Ion engine,Photon drive,3
Space Travel & Propulsion,Which propulsion concept uses large sails and laser beams?,Solar sail,Nuclear engine,Plasma thruster,Gravity drive,1
Space Travel & Propulsion,What natural phenomenon could potentially be used for slingshot maneuvers?,Solar flares,Black holes,Gravity wells,Moon tides,3
Space Travel & Propulsion,Which sci-fi concept allows instantaneous travel between two points?,Warp drive,Wormhole,Quantum tunnel,Hyperspace,2
Space Travel & Propulsion,Which drive is fictional and bends spacetime to achieve travel?,Ion drive,Plasma drive,Warp drive,Magneto drive,3
Space Travel & Propulsion,What is one benefit of nuclear thermal propulsion?,Low energy use,Near-infinite speed,High thrust-to-weight ratio,Low heat emission,3
Space Travel & Propulsion,What propulsion system relies on fusion reactions?,Solar sail,Ion engine,Fusion drive,Photon sail,3
Space Travel & Propulsion,What’s a limitation of chemical rockets?,Low gravity thrust,Limited range,Excessive speed,Noisy engines,2
Space Travel & Propulsion,What is a plasma thruster used for?,Atmospheric flight,Interstellar travel,Orbital adjustments,Weapon systems,3
Space Travel & Propulsion,What does VASIMR stand for?,Variable Atom Speed Ionized Rocket,Very Advanced Spacecraft Impulse Rocket,Variable Specific Impulse Magnetoplasma Rocket,Vacuum Accelerated Shuttle Ion Reactor,3
Space Travel & Propulsion,Which theoretical method uses black holes as propulsion?,Gravitational slipstream,Black hole sling drive,Event horizon surfing,White hole engine,1
Space Travel & Propulsion,Which concept uses pulsed nuclear explosions to propel a spacecraft?,Fusion beam,Orion drive,Solar sail,Nuclear chain push,2
Space Travel & Propulsion,What kind of engine uses sunlight directly for propulsion?,Fusion sail,Photon sail,Solar flare jet,Ion beam sail,2
Space Travel & Propulsion,What propulsion system might use magnetic fields and plasma?,Chemical engine,Antimatter core,Magnetoplasma drive,Hyperloop booster,3
Space Travel & Propulsion,Which system uses no reaction mass and is highly controversial?,Ion drive,Fusion sail,EM Drive,Warp coil,3
Space Travel & Propulsion,What term describes a gravity-based assist to increase speed?,Momentum leap,Speed trap,Gravity assist,Inertial sling,3
Space Travel & Propulsion,What does the Alcubierre drive theorize?,Using solar sails,Slowing time,Compressing spacetime ahead of the ship,Orbiting black holes for speed,3
Space Travel & Propulsion,Which starship engine uses explosions behind a pusher plate?,Orion drive,Helios booster,Ion burst engine,Antimatter jet,1
Space Travel & Propulsion,What’s a key limitation of antimatter propulsion?,Too slow,Fuel abundance,Storage difficulty,Low thrust,3
Space Travel & Propulsion,What can microthrusters be used for?,Deep space travel,Adjusting satellite position,Launching payloads,Planet landings,2
Space Travel & Propulsion,Which propulsion system uses high-frequency waves?,Microwave sail,Fusion laser,Plasma injector,Photon booster,1
Space Travel & Propulsion,What’s the function of a reaction control system?,Shield against radiation,Control spacecraft orientation,Power backup,Monitor fuel,2
Space Travel & Propulsion,What causes ion thrusters to glow?,Chemical reactions,Magnetic resistance,Charged particles emitting light,Nuclear decay,3
Space Travel & Propulsion,What is a hypothetical benefit of wormholes?,Infinite energy,Travel through time and space,Energy storage,Colonization,2
Space Travel & Propulsion,What makes solar sails efficient for long-term travel?,Speed burst,No need for sunlight,Continuous acceleration,Manual control,3
Space Travel & Propulsion,Why are chemical rockets still widely used?,Easier to build,Unlimited speed,Cheap fuel,Simple navigation,1
Space Travel & Propulsion,What’s the exhaust velocity of most ion engines?,300 m/s,3,000 m/s,30,000 m/s,300,000 m/s,3
Space Travel & Propulsion,What is Project Daedalus known for?,First Mars mission,Fusion-powered interstellar probe,EM propulsion test,Colonization plan,2
Space Travel & Propulsion,Which engine might use hydrogen as fusion fuel?,Warp drive,Antimatter jet,Fusion engine,Solar sail,3
Space Travel & Propulsion,What is the main function of an ablative shield?,Deflect lasers,Launch propulsion,Protect against re-entry heat,Produce thrust,3
Space Travel & Propulsion,Why are antimatter rockets not yet viable?,Too expensive,They don't work,Too slow,Can't generate lift,1
Space Travel & Propulsion,What is a scramjet?,Engine for deep space,A self-learning AI booster,Air-breathing hypersonic jet,Subsurface Mars probe,3
Space Travel & Propulsion,Which propulsion method has no moving parts?,Ion drive,Plasma core,EM drive,Warp ring,3
Space Travel & Propulsion,What is the goal of interstellar propulsion research?,Speed up communication,Launch military assets,Enable travel between stars,Build floating cities,3
Space Travel & Propulsion,What is the energy source for a solar thermal rocket?,Hydrogen fusion,Stored electricity,Sunlight,Dark matter,3
Space Travel & Propulsion,What limits spacecraft acceleration in human missions?,Engine type,Human tolerance to G-forces,Fuel supply,Electromagnetic radiation,2
category,question,option1,option2,option3,option4,correct_answer
Colonization & Habitats,What planet is currently considered most viable for colonization?,Venus,Mercury,Mars,Europa,3
Colonization & Habitats,What is terraforming?,Creating a new galaxy,Mining asteroids,Altering a planet to support life,Launching colonies,3
Colonization & Habitats,What structure simulates gravity by spinning?,Habitat dome,Ring station,Orbital tether,Gravity pod,2
Colonization & Habitats,Which moon is believed to have a subsurface ocean?,Io,Europa,Titan,Phobos,2
Colonization & Habitats,What gas is essential for human respiration?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,2
Colonization & Habitats,What is a challenge of colonizing Mars?,Thick atmosphere,Overpopulation,Low gravity,Too much radiation,4
Colonization & Habitats,What’s a common concept for Mars shelters?,Wooden huts,Dome cities,Open-air tents,Underwater bases,2
Colonization & Habitats,Which material could shield colonies from cosmic rays?,Carbon,Glass,Water,Plastic,3
Colonization & Habitats,What’s the role of a closed-loop life support system?,Communication,Life detection,Recycling air and water,Generating gravity,3
Colonization & Habitats,Why is artificial gravity needed in long-term space missions?,To keep astronauts warm,For fun,To prevent muscle and bone loss,To power electronics,3
Colonization & Habitats,Which planet has a surface temperature too high for human colonization?,Mars,Venus,Neptune,Ceres,2
Colonization & Habitats,What is the Moon’s gravity compared to Earth?,25%,38%,50%,62%,2
Colonization & Habitats,What kind of agriculture is likely in space?,Vertical farming,Flood irrigation,Pasture farming,Slash-and-burn,1
Colonization & Habitats,What substance could be mined from lunar regolith?,Oxygen,Hydrogen,Lead,Chlorine,1
Colonization & Habitats,Which celestial body has methane lakes?,Venus,Europa,Titan,Ganymede,3
Colonization & Habitats,What are Bernal spheres used for?,Generating electricity,Colonizing oceans,Creating rotating habitats in space,Launching satellites,3
Colonization & Habitats,What is the most dangerous space radiation?,Microwave radiation,UV rays,Cosmic rays,Gamma bursts,3
Colonization & Habitats,What provides power in many proposed Martian colonies?,Coal,Nuclear power,Hydroelectric,Wind turbines,2
Colonization & Habitats,Why are lava tubes considered for lunar habitats?,They have water,They provide insulation,They contain minerals,They emit light,2
Colonization & Habitats,What kind of fuel could be made on Mars?,Petroleum,Hydrazine,Methane,Nitroglycerin,3
Colonization & Habitats,Which technique would help terraform Mars?,Lowering surface pressure,Decreasing CO2,Increasing temperature and pressure,Adding sulfuric acid,3
Colonization & Habitats,Why is Titan a target for future exploration?,Rich oxygen,Magnetic field,Methane atmosphere and lakes,Easy communication,3
Colonization & Habitats,What is one risk of long-term weightlessness?,Improved memory,Stronger lungs,Bone loss,Better vision,3
Colonization & Habitats,Which Earth feature is most similar to Mars?,Amazon rainforest,Sahara desert,Pacific ocean,Antarctic ice shelf,2
Colonization & Habitats,What is a potential benefit of O’Neill cylinders?,Faster travel,Natural wildlife,Simulated Earth-like living,Microgravity workouts,3
Colonization & Habitats,Why might mirrors be used on Mars?,To detect asteroids,To provide light and heat,To transmit signals,For decoration,2
Colonization & Habitats,What substance might help produce breathable oxygen on Mars?,Helium,Iron oxide,Carbon dioxide,Neon,3
Colonization & Habitats,Which of these is NOT a habitat concept?,Lunar dome,Rotating space station,Sky city,Asteroid cruiser,4
Colonization & Habitats,What is regolith?,Space wind,Lunar or Martian soil,Type of plant,Dust storm,2
Colonization & Habitats,Which material is useful for radiation shielding?,Ice,Iron,Plastic,Wood,1
Colonization & Habitats,Why is Mars dust hazardous?,Too heavy,Electrically charged and toxic,Radioactive,Too cold,2
Colonization & Habitats,What is a biosphere in space terms?,Open-air farm,Self-sustaining life environment,Satellite,Atmospheric dome,2
Colonization & Habitats,Which of the following is needed to grow plants in space?,Strong wind,Natural soil,Controlled light and nutrients,Solar wind,3
Colonization & Habitats,Why are hydroponics used in space?,Needs less light,Less water and soil,More color in plants,They’re aesthetic,2
Colonization & Habitats,How is water recycled in space habitats?,Never recycled,Evaporation tunnels,Condensation and purification,Stored underground,3
Colonization & Habitats,What is one way to simulate gravity?,Lasers,Centrifugal force,Heat radiation,Gas compression,2
Colonization & Habitats,What is a main danger of living in space long-term?,Boredom,Overheating,Increased eyesight,Radiation exposure,4
Colonization & Habitats,Why build underground bases on Mars?,Easier plumbing,Better internet,Radiation protection,Tourism,3
Colonization & Habitats,What is an inflatable habitat?,A space balloon,A pressurized fabric structure,A floating colony,A gas trap,2
Colonization & Habitats,What is the purpose of a Mars greenhouse?,Entertainment,Water storage,Oxygen generation and food production,Training soldiers,3
category,question,option1,option2,option3,option4,correct_answer
Advanced Robotics & AI,What is an android?,A flying drone,A human-like robot,A data processing chip,An AI software,2
Advanced Robotics & AI,What is artificial general intelligence (AGI)?,A narrow AI,An AI specialized in one task,A self-aware, human-level AI,A mechanical robot,3
Advanced Robotics & AI,What is the main function of machine learning?,Cleaning data,Manual programming,Learning from data,Building hardware,3
Advanced Robotics & AI,What field studies human-machine integration?,Cybernetics,Genomics,Photonics,Hydraulics,1
Advanced Robotics & AI,What powers most advanced AI systems today?,Coal,Nuclear power,Data centers and GPUs,Water turbines,3
Advanced Robotics & AI,Which AI concept mimics the human brain?,Binary trees,Neural networks,Logic gates,Genetic code,2
Advanced Robotics & AI,What is the Turing Test used for?,Measuring speed,Detecting humans,Testing AI intelligence,Programming syntax,3
Advanced Robotics & AI,What is a concern with superintelligent AI?,Better smartphones,Smarter apps,Loss of human control,Faster vehicles,3
Advanced Robotics & AI,Which company built the humanoid robot Atlas?,NASA,Google,Boston Dynamics,MIT,3
Advanced Robotics & AI,What is an exoskeleton used for?,Space travel,Muscle enhancement,Medical scans,Robot building,2
Advanced Robotics & AI,What do sensors allow robots to do?,Fly,Learn,See and feel,Speak languages,3
Advanced Robotics & AI,What is a common material for flexible robot components?,Metal,Glass,Silicone,Carbon,3
Advanced Robotics & AI,What is a "drone" in robotics?,A human clone,An AI chip,A flying autonomous vehicle,A data server,3
Advanced Robotics & AI,What allows AI to learn without labeled data?,Supervised learning,Unsupervised learning,Deep search,Manual training,2
Advanced Robotics & AI,What is a swarm robot system?,Giant robot,A military bot,Multiple robots working together,A cleaning robot,3
Advanced Robotics & AI,What do actuators do in robots?,Process data,Control AI logic,Produce motion,Power batteries,3
Advanced Robotics & AI,Which law set guidelines for robot behavior?,Murphy's Law,Ohm's Law,Asimov's Laws of Robotics,Hubble’s Law,3
Advanced Robotics & AI,What is a chatbot?,A physical robot,An AI voice assistant,Text-based AI for communication,A learning module,3
Advanced Robotics & AI,Which part of a robot processes information?,Battery,CPU/Processor,Wires,Actuator,2
Advanced Robotics & AI,What does "autonomous" mean in robotics?,Remote controlled,Self-operating,Charged by solar,Wi-Fi required,2
Advanced Robotics & AI,Which field combines biology and robotics?,Robogenetics,Biomechatronics,Biosynthesis,Hydroengineering,2
Advanced Robotics & AI,What is computer vision?,Robot hearing,AI movement,Robot perception using cameras,AI speaking,3
Advanced Robotics & AI,What’s the goal of reinforcement learning?,Rebuilding robots,Controlling AI limits,Learning via rewards and punishment,Making robots stronger,3
Advanced Robotics & AI,What is a "soft robot"?,A robot that apologizes,A software-only AI,A robot made from flexible materials,A simulation,3
Advanced Robotics & AI,What is the function of LIDAR in robotics?,Measuring temperature,Detecting sound,Mapping surroundings using lasers,Controlling motors,3
Advanced Robotics & AI,What role does AI play in space exploration?,Launching rockets,Managing fuel,Autonomous decision-making,Carrying astronauts,3
Advanced Robotics & AI,What is a neural network layer?,Physical robot part,Software error,A level of data processing in AI,A security layer,3
Advanced Robotics & AI,Which of these is NOT a type of AI learning?,Supervised,Reinforced,Unsupervised,Overdriven,4
Advanced Robotics & AI,What’s the goal of explainable AI?,Faster speed,Higher accuracy,Understanding how decisions are made,More data,3
Advanced Robotics & AI,What is the Singularity in AI?,A black hole,A super app,When AI surpasses human intelligence,A space station AI,3
Advanced Robotics & AI,What does NLP stand for?,Neural Layer Protocol,Natural Language Processing,Nanobot Logic Path,Normal Learning Program,2
Advanced Robotics & AI,Which industry heavily uses robotic automation?,Hospitality,Accounting,Manufacturing,Education,3
Advanced Robotics & AI,What is a limitation of current AI?,Always right,Self-repairing,Depends on data quality,Telepathic control,3
Advanced Robotics & AI,What is a digital twin?,A robot sibling,A backup drive,A virtual replica of a physical object,An AI virus,3
Advanced Robotics & AI,What role do ethics play in robotics?,Control wiring,Improve cooling,Guide responsible development,Enhance speed,3
Advanced Robotics & AI,What is robotic vision used for?,Flying,Decision-making,Visual recognition tasks,Generating power,3
Advanced Robotics & AI,Which robotic component allows walking?,CPU,Microphone,Joint actuators,Signal converter,3
Advanced Robotics & AI,What makes an AI “narrow”?,It’s small in size,It’s slow,It’s trained for one task only,It’s still learning,3
Advanced Robotics & AI,What AI technique allows recognizing faces?,Data sorting,Image scanning,Facial recognition,Pulse analysis,3
Advanced Robotics & AI,Which AI model processes sequential data like text?,Decision tree,Support vector machine,Recurrent neural network,Static filter,3
category,question,option1,option2,option3,option4,correct_answer
Astrophysics & Cosmology,What is dark matter believed to do?,Emit bright light,Form stars,Account for missing mass in the universe,Cause supernovas,3
Astrophysics & Cosmology,What is a black hole?,A dead star,A region with strong gravity that even light can't escape,A dark planet,A type of comet,2
Astrophysics & Cosmology,What is a singularity?,A new planet,A type of telescope,A point of infinite density,A solar flare,3
Astrophysics & Cosmology,What is the Big Bang?,A star explosion,The beginning of the universe,The end of time,Creation of black holes,2
Astrophysics & Cosmology,What is cosmic microwave background radiation?,Sunlight,Noise from stars,Energy left from the Big Bang,Magnetic waves,3
Astrophysics & Cosmology,What is a supernova?,A new planet,A galaxy birth,A dying star explosion,A massive meteor,3
Astrophysics & Cosmology,What causes a black hole to form?,Star collision,Meteor impact,Collapse of a massive star,Planet explosion,3
Astrophysics & Cosmology,What are quasars?,Dead planets,Radioactive asteroids,Extremely bright galactic cores powered by black holes,Collapsing stars,3
Astrophysics & Cosmology,What does the Hubble Space Telescope do?,Tracks satellites,Explores Earth's core,Takes deep space images,Collects solar winds,3
Astrophysics & Cosmology,What is redshift in astronomy?,A telescope mode,A change in light from approaching stars,A change in light from receding objects,An eclipse,3
Astrophysics & Cosmology,What does general relativity describe?,Light refraction,Particle movement,Gravity and spacetime,Magnetic fields,3
Astrophysics & Cosmology,What is a wormhole?,A space tunnel connecting distant points,A space station,A neutron star,A galactic ring,1
Astrophysics & Cosmology,What does dark energy do?,Increases gravity,Cools the universe,Accelerates the expansion of the universe,Creates light,3
Astrophysics & Cosmology,What is the observable universe?,Galaxies we’ve visited,The total known planets,The part of the universe we can detect,Only stars visible to the eye,3
Astrophysics & Cosmology,What are gravitational waves?,Sound in space,Light particles,Ripples in spacetime,Magnetic shifts,3
Astrophysics & Cosmology,What is a galaxy?,A black hole,Star system,A massive system of stars, dust, and gas bound by gravity,Comet tail,3
Astrophysics & Cosmology,What is a light-year?,Time measurement,Speed of light,Distance light travels in a year,A planet’s age,3
Astrophysics & Cosmology,What’s the closest star to Earth after the Sun?,Vega,Betelgeuse,Proxima Centauri,Andromeda,3
Astrophysics & Cosmology,What is the Milky Way?,A type of star,A galaxy containing Earth,An asteroid field,A nebula,2
Astrophysics & Cosmology,What is the theory of the multiverse?,The universe is a simulation,Multiple Earths exist,Multiple universes may exist beyond ours,Aliens built the universe,3
Astrophysics & Cosmology,What is a neutron star?,A hot planet,A low-energy star,A star made mostly of neutrons,A gas cloud,3
Astrophysics & Cosmology,What is a white dwarf?,A small moon,An early planet,A dense star remnant,An icy comet,3
Astrophysics & Cosmology,What does a pulsar emit?,Light waves,X-rays,Radio waves at regular intervals,Heat pulses,3
Astrophysics & Cosmology,Which force holds galaxies together?,Electromagnetism,Gravity,Dark energy,Nuclear force,2
Astrophysics & Cosmology,What is an exoplanet?,A moon,Planet outside our solar system,A burning star,A black hole,2
Astrophysics & Cosmology,What is an event horizon?,Light from a nova,Point of maximum mass,Boundary of a black hole where nothing escapes,Dark side of a planet,3
Astrophysics & Cosmology,What causes seasons on Earth?,Tidal forces,Sun’s temperature,Earth’s axial tilt,Distance to the moon,3
Astrophysics & Cosmology,What is the fate of the universe under heat death?,Infinite heat,Eternal stars,Freezing with max entropy,Time collapse,3
Astrophysics & Cosmology,What does the Doppler effect explain in space?,Tidal changes,Star explosions,Light shift in moving stars,Earthquakes,3
Astrophysics & Cosmology,What is a comet mainly made of?,Gas and dust,Ice and rock,Metal and lava,Liquid hydrogen,2
Astrophysics & Cosmology,What is a black hole’s spin called?,Black swirl,Angular momentum,Gravitational resonance,Space twist,2
Astrophysics & Cosmology,What is the sun mostly made of?,Oxygen,Helium,Hydrogen,Carbon,3
Astrophysics & Cosmology,What forms the spiral arms of galaxies?,Gravity waves,Moving stars and dust,Radio signals,Alien ships,2
Astrophysics & Cosmology,What is dark energy responsible for?,Star explosions,Black hole formation,Accelerating expansion of the universe,Wormhole creation,3
Astrophysics & Cosmology,What is the James Webb Telescope designed to observe?,Earth’s weather,Radio signals,Infrared light from early galaxies,Mars terrain,3
Astrophysics & Cosmology,What does E=mc² relate?,Electricity and mass,Energy and magnetism,Energy and mass equivalence,Entropy and motion,3
Astrophysics & Cosmology,What is cosmic inflation?,Star growth,Planetary fusion,Rapid early expansion of the universe,Light creation,3
Astrophysics & Cosmology,What is a binary star system?,Star and black hole,Two stars orbiting each other,Exploding star,White and red dwarf pair,2
Astrophysics & Cosmology,What is parallax used for?,Measure moon gravity,Calculate light speed,Measure distances to stars,Detect aliens,3
category,question,option1,option2,option3,option4,correct_answer
Alien Biology & Evolution,What is a common trait expected in alien life?,Human-like faces,Photosynthesis,Adaptation to environment,Earth DNA,3
Alien Biology & Evolution,Which molecule is key to Earth life and may exist elsewhere?,Chlorophyll,Silicon,Water,Ammonia,3
Alien Biology & Evolution,What is xenobiology?,Study of alien plants,Study of extraterrestrial life forms,Alien languages,Space medicine,2
Alien Biology & Evolution,Why might silicon be a basis for alien life?,It's liquid,It mimics light,It forms complex molecules,It's explosive,3
Alien Biology & Evolution,Which environment is likely to host microbial alien life?,Oceans of Earth,Vacuum of space,Lava fields,Subsurface oceans of Europa,4
Alien Biology & Evolution,What is extremophile?,A hostile alien species,A government group,A lifeform thriving in extreme conditions,A time traveler,3
